date,hdd,cdd,temperature,wind_speed,load_capacity_ratio,load_error,price_error
2018-01-01 01:00:00,31.252500343322755,0.0,-12.9525,7.127636,0.8574057037718491,261.0166666666669,4.285833333333329
2018-01-01 02:00:00,31.052500534057618,0.0,-12.752501,8.209263,0.8248157248157247,206.4416666666666,5.501666666666679
2018-01-01 03:00:00,30.902499961853028,0.0,-12.6025,9.83268,0.8256603773584905,154.32500000000027,13.272500000000008
2018-01-01 04:00:00,31.252500343322755,0.0,-12.9525,9.028754,0.8140853848550951,110.79166666666652,-1.3383333333333383
2018-01-01 05:00:00,31.002500343322755,0.0,-12.7025,9.085988,0.8155844155844156,90.54999999999973,8.066666666666663
2018-01-01 06:00:00,30.95250015258789,0.0,-12.6525,10.44,0.8278293135435992,130.2249999999999,1.7450000000000045
2018-01-01 07:00:00,30.802500534057618,0.0,-12.502501,11.988594,0.7658627087198515,108.70000000000027,-6.205714285714265
2018-01-01 08:00:00,30.902499961853028,0.0,-12.6025,12.738099,0.8445269016697589,46.92857142857156,183.63357142857143
2018-01-01 09:00:00,31.102499771118165,0.0,-12.8025,12.819235,0.889795918367347,61.441666666666606,190.96083333333337
2018-01-01 10:00:00,31.252500343322755,0.0,-12.9525,15.072783,0.9150278293135437,125.87857142857183,-2.690714285714307
2018-01-01 11:00:00,31.652499961853028,0.0,-13.3525,12.475961,0.9257884972170687,139.9083333333333,-18.355833333333322
2018-01-01 12:00:00,31.852499771118165,0.0,-13.5525,13.276144,0.9376623376623376,146.41666666666652,-5.8641666666666765
2018-01-01 13:00:00,31.70250015258789,0.0,-13.4025,13.246826,0.9424860853432282,132.7416666666668,-8.046666666666681
2018-01-01 14:00:00,30.902499961853028,0.0,-12.6025,14.255272,0.9461966604823747,96.23333333333312,-9.280833333333334
2018-01-01 15:00:00,29.902499961853028,0.0,-11.6025,16.199999,0.963265306122449,-29.90000000000009,-23.86833333333331
2018-01-01 16:00:00,29.20250015258789,0.0,-10.9025,16.199999,1.0154128440366972,-153.70000000000027,-26.298333333333318
2018-01-01 17:00:00,28.402499961853028,0.0,-10.1025,17.782686,1.1107078039927405,112.15000000000009,26.214285714285722
2018-01-01 18:00:00,27.652499961853028,0.0,-9.3525,18.278645,1.1266787658802178,188.5,43.08749999999998
2018-01-01 19:00:00,27.052500534057618,0.0,-8.752501,19.878391,1.1099818511796733,210.95833333333348,3.361666666666679
2018-01-01 20:00:00,26.652499961853028,0.0,-8.3525,17.673029,1.067699642431466,251.6500000000001,33.25000000000003
2018-01-01 21:00:00,26.752500343322755,0.0,-8.4525,17.0763,1.0448260142835435,291.8916666666664,0.8483333333333292
2018-01-01 22:00:00,27.352499771118165,0.0,-9.0525,8.699793,1.0890313871076611,267.1749999999997,8.67416666666665
2018-01-01 23:00:00,28.45250015258789,0.0,-10.1525,5.8048253,0.9355805243445693,184.39166666666688,-16.699166666666656
2018-01-02 00:00:00,32.302500534057614,0.0,-14.002501,4.8433046,0.885215221459763,105.22499999999991,0.14666666666664696
2018-01-02 01:00:00,31.352499771118165,0.0,-13.0525,5.315336,0.8534579439252337,51.8416666666667,-28.635000000000005
2018-01-02 02:00:00,31.502500343322755,0.0,-13.2025,5.0911684,0.8525714285714285,18.833333333333485,-9.076666666666668
2018-01-02 03:00:00,31.502500343322755,0.0,-13.2025,6.297428,0.8398116169544741,-36.89166666666688,-19.358333333333334
2018-01-02 04:00:00,30.352499771118165,0.0,-12.0525,8.4963045,0.8485981308411215,-126.13333333333321,-22.52166666666666
2018-01-02 05:00:00,30.552500534057618,0.0,-12.252501,7.8954163,0.8911833307417197,-232.7833333333333,-55.66499999999999
2018-01-02 06:00:00,30.70250015258789,0.0,-12.4025,7.289444,0.9512820512820512,-122.63333333333321,126.8175
2018-01-02 07:00:00,30.95250015258789,0.0,-12.6525,7.24486,1.0,33.17499999999973,3.8125
2018-01-02 08:00:00,29.652499961853028,0.0,-11.3525,9.0,1.0003636363636363,45.5916666666667,-53.53
2018-01-02 09:00:00,29.402499961853028,0.0,-11.1025,9.0645685,0.977725674091442,50.358333333333576,-57.39166666666668
2018-01-02 10:00:00,29.852499771118165,0.0,-11.5525,8.089993,0.8915572232645403,67.19999999999982,114.44461538461539
2018-01-02 11:00:00,29.352499771118165,0.0,-11.0525,9.605998,1.044155844155844,81.32142857142844,23.794285714285706
2018-01-02 12:00:00,30.102499771118165,0.0,-11.8025,8.049845,0.9421602787456446,55.516666666666424,-40.84916666666666
2018-01-02 13:00:00,29.102499771118165,0.0,-10.8025,10.239453,0.9365853658536586,5.391666666666879,-17.991666666666674
2018-01-02 14:00:00,27.752500343322755,0.0,-9.4525,14.561099,0.9445993031358885,-51.816666666666606,-11.914999999999992
2018-01-02 15:00:00,26.352499771118165,0.0,-8.0525,13.979871,0.9641114982578397,-155.06666666666706,-54.08250000000001
2018-01-02 16:00:00,25.30250005722046,0.0,-7.0025,14.113653,1.0350442477876107,-246.18333333333294,-69.0333333333333
2018-01-02 17:00:00,24.55250005722046,0.0,-6.2525,14.77755,1.106998264893002,30.216666666666697,-50.51249999999999
2018-01-02 18:00:00,23.852500247955323,0.0,-5.5525002,15.226764,1.1237819025522042,142.5642857142857,16.216428571428565
2018-01-02 19:00:00,23.252500343322755,0.0,-4.9525003,13.324863,1.1147368421052632,168.4083333333333,-8.346666666666636
2018-01-02 20:00:00,22.852500247955323,0.0,-4.5525002,11.525623,1.0866666666666667,231.91666666666652,-15.717499999999973
