Time Stamp,RT Prices,DA Prices,Load Realized,Load Forecast,Capacity,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,Load-Capacity Ratio,HDD,CDD,Price Error,Load Error
2021-08-31 00:00:00,93.78666666666668,67.0,2856.952766666667,2449.0,2652.5,24.3475,88.0,0.0,14.205182,188.74608,0.9232799245994345,0.0,6.047499847412109,33.646666666666675,569.9527666666668
2021-08-31 01:00:00,70.68833333333333,60.14,2668.077408333333,2287.0,2635.0,23.9975,95.0,0.0,9.422101,173.41815,0.8679316888045541,0.0,5.697499465942382,15.228333333333332,490.0774083333331
2021-08-31 02:00:00,62.38999999999999,55.46,2537.7708166666666,2178.0,2610.0,23.8975,93.0,0.0,10.1376915,186.1154,0.8344827586206897,0.0,5.5974990844726555,6.969999999999992,424.77081666666663
2021-08-31 03:00:00,69.75083333333333,55.42,2450.37575,2113.0,2610.0,23.7975,89.0,0.0,7.289444,200.22495,0.8095785440613027,0.0,5.497500610351562,16.750833333333333,336.37575000000015
2021-08-31 04:00:00,62.05416666666667,53.0,2420.93925,2114.0,2610.0,23.6475,91.0,0.0,3.319036,192.5288,0.8099616858237548,0.0,5.3474990844726555,8.25416666666667,243.9392499999999
2021-08-31 05:00:00,71.6425,53.8,2455.1997,2177.0,2610.0,23.6975,92.0,0.0,4.39436,235.0079,0.8340996168582375,0.0,5.397500228881835,24.6425,181.19970000000012
2021-08-31 06:00:00,65.78,47.0,2561.8610583333334,2274.0,2610.0,23.8475,92.0,0.0,4.0249224,280.30478,0.871264367816092,0.0,5.547499847412109,15.660000000000004,113.8610583333334
2021-08-31 07:00:00,63.850833333333334,50.12,2702.1590166666665,2448.0,2650.0,23.2975,95.0,0.0,4.39436,304.9921,0.9237735849056604,0.0,4.997500610351562,11.070833333333333,37.1590166666665
2021-08-31 08:00:00,85.45333333333333,52.78,2929.0164583333335,2665.0,2683.3333333333335,22.9975,94.0,0.0,2.8116899,320.1945,0.993167701863354,0.0,4.697499465942382,28.18333333333333,58.0164583333335
2021-08-31 09:00:00,75.11416666666666,57.27,3134.2048,2871.0,2708.75,22.7975,94.0,0.0,4.5820518,315.0001,1.0598984771573603,0.0,4.497500610351562,13.684166666666663,67.20479999999998
2021-08-31 10:00:00,63.66916666666666,61.43,3346.4462166666667,3067.0,2715.0,22.2975,93.0,0.0,5.815978,338.19852,1.1296500920810313,0.0,3.997500610351562,-20.490833333333335,75.44621666666671
2021-08-31 11:00:00,93.97500000000001,84.16,3611.6824083333336,3271.0,2715.0,22.2475,93.0,0.0,2.6208394,344.05453,1.2047882136279926,0.0,3.947499465942382,-10.904999999999987,162.68240833333357
2021-08-31 12:00:00,113.55666666666667,104.88,3855.597266666666,3449.0,2715.0,23.4475,85.0,0.0,5.991594,327.26477,1.2703499079189686,0.0,5.147500228881835,9.366666666666674,209.5972666666662
2021-08-31 13:00:00,106.8725,104.19,4045.3589583333337,3646.0,2715.0,24.5475,78.0,0.0,6.6185193,337.6198,1.3429097605893185,0.0,6.247500610351562,0.9724999999999966,177.3589583333337
2021-08-31 14:00:00,106.02,105.9,4134.936708333334,3868.0,2715.0,25.9475,70.0,0.0,9.693296,338.19852,1.4246777163904236,0.0,7.647500228881835,-1.8400000000000034,121.93670833333363
2021-08-31 15:00:00,112.7725,107.86,4175.7502583333335,4013.0,2715.0,26.9975,64.0,0.0,10.144082,332.52567,1.478084714548803,0.0,8.697499465942382,4.752499999999998,84.75025833333348
2021-08-31 16:00:00,204.45833333333334,108.02,4192.9093416666665,4091.0,2715.0,27.7975,55.0,0.0,10.00256,300.25635,1.5068139963167588,0.0,9.497500610351562,96.43833333333335,85.90934166666648
2021-08-31 17:00:00,114.94,108.02,4058.8039083333333,4107.0,2715.0,28.1475,55.0,0.0,10.483357,285.94547,1.5127071823204419,0.0,9.847499084472656,16.099999999999994,40.80390833333331
2021-08-31 18:00:00,103.12166666666667,98.84,3854.0014916666664,4018.0,2715.0,28.2475,52.0,0.0,13.450708,285.52417,1.4799263351749539,0.0,9.947499465942382,13.12166666666667,76.00149166666642
2021-08-31 19:00:00,50.86333333333334,90.0,3699.209091666667,3778.0,2715.0,27.8975,62.0,0.0,10.163227,292.93213,1.3915285451197053,0.0,9.597499084472656,-26.236666666666657,111.20909166666706
2021-08-31 20:00:00,69.515,77.1,3565.5177083333333,3588.0,2715.0,28.5475,52.0,0.0,14.003029,287.96924,1.321546961325967,0.0,10.247500610351562,2.5150000000000006,244.5177083333333
2021-08-31 21:00:00,35.61666666666667,67.0,3339.0050666666666,3321.0,2715.0,26.9975,55.0,0.0,12.397806,295.82092,1.2232044198895027,0.0,8.697499465942382,-26.093333333333334,303.0050666666666
2021-08-31 22:00:00,97.57083333333333,61.71,3087.5039083333336,3036.0,2692.5,26.4975,56.0,0.0,14.113652,307.74686,1.1275766016713091,0.0,8.197499465942382,42.51083333333332,323.5039083333336
2021-08-31 23:00:00,50.5325,55.06,2818.0315583333336,2764.0,2630.0,24.7975,57.0,0.0,8.209263,307.87503,1.0509505703422053,0.0,6.497500610351562,-5.767499999999998,313.0315583333336
2021-09-01 00:00:00,103.28000000000002,56.3,2592.896583333333,2505.0,2545.0,24.2975,61.0,0.0,4.198285,300.96368,0.9842829076620825,0.0,5.997500610351562,50.430000000000014,255.89658333333318
2021-09-01 01:00:00,66.45083333333334,52.85,2437.9425583333336,2337.0,2525.0,23.4975,64.0,0.0,3.2399998,270.0,0.9255445544554456,0.0,5.197499465942382,18.340833333333336,219.94255833333364
2021-09-01 02:00:00,67.51083333333334,48.11,2345.3204499999997,2218.0,2525.0,22.3475,70.0,0.0,6.849467,176.98727,0.8784158415841584,0.0,4.047499847412109,20.260833333333338,195.3204499999997
2021-09-01 03:00:00,61.66,47.25,2289.568575,2150.0,2525.0,23.0975,62.0,0.0,3.2599385,276.3401,0.8514851485148515,0.0,4.797499847412109,25.119999999999997,147.56857499999978
2021-09-01 04:00:00,63.07583333333333,36.54,2294.8093916666667,2142.0,2525.0,22.1475,68.0,0.0,0.5091169,135.0001,0.8483168316831683,0.0,3.8474990844726555,15.155833333333327,88.80939166666667
2021-09-01 05:00:00,59.880833333333335,47.92,2372.0121583333334,2206.0,2525.0,22.1975,71.0,0.0,5.1544156,257.90524,0.8736633663366337,0.0,3.8975002288818352,10.220833333333339,74.01215833333345
2021-09-01 06:00:00,104.68833333333333,49.66,2503.2240666666667,2298.0,2525.0,22.2475,74.0,0.0,5.315336,241.69934,0.9100990099009901,0.0,3.947499465942382,53.84833333333333,45.22406666666666
2021-09-01 07:00:00,63.45083333333333,50.84,2669.562266666667,2458.0,2540.0,21.6975,77.0,0.0,4.198285,239.0363,0.9677165354330709,0.0,3.3975002288818352,11.710833333333326,0.562266666666801
2021-09-01 08:00:00,64.56083333333333,51.74,2832.082216666667,2669.0,2633.75,22.0475,76.0,0.0,2.9024127,209.7448,1.0133839582344566,0.0,3.747500610351562,9.020833333333336,-21.917783333332864
